participant,gender,age,language,logical_training,trial_type,card_type,guess_type,card,guess,response,aim,comments,response_type,order,duration
anon17,female,30,English,No,XY_XandY,XY,XandY,catele,catandele,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_XandY,X,XandY,cat,catanddog,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_XorY,X,XorY,cat,catorele,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_XandY,XY,XandY,catdog,catanddog,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_Z,XY,Z,dogele,cat,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_Z,X,Z,ele,cat,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_X,X,X,cat,cat,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_X,XY,X,catdog,dog,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_X,XY,X,catdog,cat,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_Z,XY,Z,catele,dog,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_X,X,X,dog,dog,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_Z,XY,Z,catdog,ele,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_XorY,X,XorY,cat,catordog,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_XandY,X,XandY,ele,catandele,neiter,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_X,XY,X,catele,cat,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_XandY,XY,XandY,catele,catandele,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_XorY,XY,XorY,catele,catorele,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_X,XY,X,dogele,dog,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_X,XY,X,catdog,cat,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_XandY,X,XandY,ele,dogandele,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_XorY,XY,XorY,dogele,dogorele,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_XorY,X,XorY,ele,catorele,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_X,X,X,dog,dog,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_XandY,XY,XandY,catdog,catanddog,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_X,X,X,cat,cat,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_XandY,XY,XandY,dogele,dogandele,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_Z,XY,Z,dogele,cat,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_Z,X,Z,dog,ele,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_XorY,X,XorY,cat,catorele,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_XandY,X,XandY,cat,catanddog,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_X,X,X,ele,ele,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_Z,X,Z,cat,ele,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_Z,XY,Z,catdog,ele,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_XorY,XY,XorY,catdog,catordog,right,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,XY_Z,XY,Z,catele,dog,wrong,Not sure,NA,ternary,NA,NA
anon18,male,34,English,Yes,X_Z,X,Z,cat,dog,wrong,Not sure,NA,ternary,NA,NA
anon20,male,46,English,No,X_XorY,X,XorY,ele,dogorele,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_XorY,X,XorY,dog,catordog,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_X,XY,X,dogele,ele,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_Z,XY,Z,catele,dog,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_X,XY,X,catele,cat,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_XandY,X,XandY,ele,dogandele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_XorY,XY,XorY,dogele,dogorele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_XorY,XY,XorY,catdog,catordog,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_XandY,XY,XandY,dogele,dogandele,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_XandY,X,XandY,cat,catandele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_XandY,XY,XandY,catele,catandele,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_X,X,X,ele,ele,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_XandY,X,XandY,dog,catanddog,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_XandY,XY,XandY,catdog,catanddog,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_Z,XY,Z,dogele,cat,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_X,XY,X,catdog,cat,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_X,X,X,dog,dog,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_Z,X,Z,dog,ele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_Z,XY,Z,catdog,ele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_X,X,X,cat,cat,right,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_Z,X,Z,cat,dog,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_Z,X,Z,dog,cat,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,X_XorY,X,XorY,dog,dogorele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon20,male,46,English,No,XY_XorY,XY,XorY,catele,catorele,wrong,To determine whether AND or OR affected the right/wrong decision.,NA,binary,NA,NA
anon21,male,23,English,No,XY_X,XY,X,catdog,cat,right,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,X_X,X,X,ele,ele,right,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,XY_Z,XY,Z,dogele,cat,wrong,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,XY_XorY,XY,XorY,catele,catorele,right,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,X_XorY,X,XorY,dog,dogorele,right,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,X_Z,X,Z,ele,cat,wrong,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,XY_X,XY,X,catele,ele,right,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
anon21,male,23,English,No,XY_Z,XY,Z,catele,dog,wrong,The goal was to see if you can follow directions using a game.,NA,binary,NA,NA
